i	f_sup	f_swg	f_swg_id	traj_params	h_max
6541	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6542	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6543	[-0.23339105229888316, 0.006269117169622529, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6544	[-0.2933910522988831, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6545	[-0.29339105229888307, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-96.00000000000004, 9.600000000000001]	0.24
6546	[-0.2333910522988831, 0.1562691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988831, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-70.58823529411765, 8.231932086840425]	0.24
6547	[-0.2933910522988832, -0.24373088283037747, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6548	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-70.58823529411765, 8.231932086840425]	0.24
6549	[-0.2933910522988832, 0.006269117169622529, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[0]	0
6550	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-70.58823529411765, 8.231932086840425]	0.24
6551	[-0.21432092378742096, -0.10166435824632952, 0.20000000298023224, 2.7415926535897928]	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 2.941592653589793]	Right	[-65.18050510829887, 7.910327736823988]	0.24
6552	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, 0.006269117169622529, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6553	[-0.23339105229888318, 0.05626911716962252, 0.20000000298023224, 3.3415926535897933]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-157.37704918032787, 12.291540473558014]	0.24
6554	[-0.23339105229888318, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-157.37704918032787, 12.291540473558014]	0.24
6555	[-0.17339105229888319, 0.006269117169622529, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-39.34426229508197, 6.145770236779007]	0.24
6556	[-0.23339105229888318, 0.006269117169622529, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-70.58823529411767, 8.231932086840425]	0.24
