i	f_sup	f_swg	f_swg_id	traj_h
1636	[-1.3409366390382387, -1.0865468225685477, 0.0020500000937317964, -1.6292036732051032]	[-1.0414482062998127, -1.1040590655968217, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1637	[-1.0995353251694115, -1.2409016270367081, 0.0020500000937317964, -1.8292036732051031]	[-1.3409366390382387, -1.0865468225685477, 0.0020500000937317964, -1.6292036732051032]	Right	0.02
1638	[-1.351669417151475, -1.4121569909246179, 0.0020500000937317964, -1.8292036732051031]	[-1.0995353251694115, -1.2409016270367081, 0.0020500000937317964, -1.8292036732051031]	Left	0.02
1639	[-1.0946374028849997, -1.418034374876558, 0.0020500000937317964, -2.029203673205103]	[-1.351669417151475, -1.4121569909246179, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1640	[-1.3184490738879868, -1.2864732258892881, 0.0020500000937317964, -1.8292036732051031]	[-1.0995353251694115, -1.2409016270367081, 0.0020500000937317964, -1.8292036732051031]	Left	0.02
1641	[-1.1710868337369242, -1.5116051209589574, 0.0020500000937317964, -1.6292036732051032]	[-1.3184490738879868, -1.2864732258892881, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1642	[-1.1049076822942707, -0.9528211903588085, 0.0020500000937317964, -2.029203673205103]	[-1.2727132106074799, -0.8050331506954962, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1643	[-1.0463461285842244, -0.9269263177569717, 0.0020500000937317964, -2.029203673205103]	[-1.2727132106074799, -0.8050331506954962, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1644	[-1.3274775138088697, -1.044676664854855, 0.0020500000937317964, -2.029203673205103]	[-1.0463461285842244, -0.9269263177569717, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1645	[-1.1481258305420403, -1.1331807535138256, 0.0020500000937317964, -2.029203673205103]	[-1.3274775138088697, -1.044676664854855, 0.0020500000937317964, -2.029203673205103]	Right	0.02
1646	[-1.3147877769972465, -0.9059720485666733, 0.0020500000937317964, -2.029203673205103]	[-1.0463461285842244, -0.9269263177569717, 0.0020500000937317964, -2.029203673205103]	Left	0.02
