i	f_sup	f_swg	f_swg_id	traj_h
2009	[-1.2804642671766, 1.9369856861395636, 0.0020500000937317964, 0.9707963267948967]	[-1.5019956374980392, 1.9673806193276029, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2010	[-1.430333923564516, 2.16067986597929, 0.0020500000937317964, 0.9707963267948967]	[-1.2804642671766, 1.9369856861395636, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
2011	[-1.47160070431, 2.188911989649042, 0.0020500000937317964, 0.9707963267948967]	[-1.2804642671766, 1.9369856861395636, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
2012	[-1.2240000198370964, 2.0195192476305315, 0.0020500000937317964, 0.7707963267948967]	[-1.47160070431, 2.188911989649042, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2013	[-1.2578785682407985, 1.9699991107359507, 0.0020500000937317964, 0.7707963267948967]	[-1.47160070431, 2.188911989649042, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2014	[-1.2726550329243622, 2.1255036318646154, 0.0020500000937317964, 0.9707963267948967]	[-1.47160070431, 2.188911989649042, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2015	[-1.4637914700577621, 2.377429935374094, 0.0020500000937317964, 0.9707963267948967]	[-1.2726550329243622, 2.1255036318646154, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
2016	[-1.0863230167040006, 2.3978643847848096, 0.0020500000937317964, 1.1707963267948966]	[-1.4637914700577621, 2.377429935374094, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2017	[-1.323699480674001, 2.6067959868776933, 0.0020500000937317964, 1.3707963267948966]	[-1.0863230167040006, 2.3978643847848096, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
2018	[-1.3903879485164077, 2.4847235653123523, 0.0020500000937317964, 0.9707963267948967]	[-1.2726550329243622, 2.1255036318646154, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
2019	[-1.1766658124472062, 2.265810686399261, 0.0020500000937317964, 0.7707963267948967]	[-1.3903879485164077, 2.4847235653123523, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2020	[-1.4695295526810213, 1.433749023608049, 0.0020500000937317964, 0.9707963267948967]	[-1.8003664188050978, 1.4216259871402401, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
