i	f_sup	f_swg	f_swg_id	traj_h
460	[1.9034226814456583, 0.843802842290159, 0.0020500000937317964, 2.5415926535897926]	[1.7658860612816074, 0.6265847994993964, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
461	[1.911422217616748, 0.9073324213934981, 0.0020500000937317964, 2.1415926535897922]	[1.7658860612816074, 0.6265847994993964, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
462	[1.8476861446978852, 0.9011913295621209, 0.0020500000937317964, 2.3415926535897924]	[1.7658860612816074, 0.6265847994993964, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
463	[1.920073178404001, 0.6241969607662144, 0.0020500000937317964, 2.1415926535897922]	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
464	[2.138570134870314, 0.5300550611974661, 0.0020500000937317964, 2.941592653589793]	[2.021744632177719, 0.25373676299660064, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
465	[1.9908961443874245, 0.3049053498166619, 0.0020500000937317964, 2.7415926535897928]	[2.138570134870314, 0.5300550611974661, 0.0020500000937317964, 2.941592653589793]	Right	0.02
466	[2.068779812849155, 0.4891175486172389, 0.0020500000937317964, 2.941592653589793]	[1.9908961443874245, 0.3049053498166619, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
467	[1.9310392889060184, 0.31297116612849674, 0.0020500000937317964, 2.7415926535897928]	[2.068779812849155, 0.4891175486172389, 0.0020500000937317964, 2.941592653589793]	Right	0.02
468	[2.030098807501074, 0.29695857658485947, 0.0020500000937317964, 2.941592653589793]	[2.138570134870314, 0.5300550611974661, 0.0020500000937317964, 2.941592653589793]	Right	0.02
469	[2.0797661401998395, 0.5419752210451698, 0.0020500000937317964, 2.941592653589793]	[2.030098807501074, 0.29695857658485947, 0.0020500000937317964, 2.941592653589793]	Left	0.02
470	[1.9817594824157154, 0.5618421541246761, 0.0020500000937317964, 3.141592653589793]	[2.030098807501074, 0.29695857658485947, 0.0020500000937317964, 2.941592653589793]	Left	0.02
471	[2.4928911164941705, 0.2950325180081924, 0.0020500000937317964, 3.141592653589793]	[2.570499638153426, -0.02680116165548871, 0.0020500000937317964, 2.941592653589793]	Left	0.02
472	[2.3528911164941704, 0.04503251800819244, 0.0020500000937317964, 3.141592653589793]	[2.4928911164941705, 0.2950325180081924, 0.0020500000937317964, 3.141592653589793]	Right	0.02
473	[2.3128911164941703, 0.09503251800819243, 0.0020500000937317964, 3.141592653589793]	[2.4928911164941705, 0.2950325180081924, 0.0020500000937317964, 3.141592653589793]	Right	0.02
474	[2.13289111649417, 0.3950325180081924, 0.0020500000937317964, 3.141592653589793]	[2.3128911164941703, 0.09503251800819243, 0.0020500000937317964, 3.141592653589793]	Left	0.02
475	[2.07289111649417, 0.1450325180081924, 0.0020500000937317964, 3.141592653589793]	[2.13289111649417, 0.3950325180081924, 0.0020500000937317964, 3.141592653589793]	Right	0.02
476	[2.13289111649417, 0.0950325180081924, 0.0020500000937317964, 3.3415926535897933]	[2.13289111649417, 0.3950325180081924, 0.0020500000937317964, 3.141592653589793]	Right	0.02
477	[1.9852171260112808, 0.32018222938899665, 0.0020500000937317964, 3.5415926535897935]	[2.13289111649417, 0.0950325180081924, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
478	[2.063100794473011, 0.13597003058841964, 0.0020500000937317964, 3.5415926535897935]	[1.9852171260112808, 0.32018222938899665, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
479	[2.132094311926126, 0.4009726512082685, 0.0020500000937317964, 3.141592653589793]	[2.13289111649417, 0.0950325180081924, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
480	[1.8478750043521663, 0.34335854527770077, 0.0020500000937317964, 3.3415926535897933]	[2.13289111649417, 0.0950325180081924, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
481	[1.8975423370509317, 0.09834190081739036, 0.0020500000937317964, 3.3415926535897933]	[1.8478750043521663, 0.34335854527770077, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
482	[1.8094691458065606, 0.029471638845822157, 0.0020500000937317964, 3.3415926535897933]	[1.8478750043521663, 0.34335854527770077, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
483	[1.7697352796475483, 0.2254849544140705, 0.0020500000937317964, 3.5415926535897935]	[1.8094691458065606, 0.029471638845822157, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
484	[1.9028826077494516, 0.06463785615201251, 0.0020500000937317964, 3.5415926535897935]	[1.7697352796475483, 0.2254849544140705, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
485	[1.8476189481092784, 0.04127275561349347, 0.0020500000937317964, 3.5415926535897935]	[1.7697352796475483, 0.2254849544140705, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
486	[1.8086723412385166, 0.3354117720458983, 0.0020500000937317964, 3.5415926535897935]	[1.8094691458065606, 0.029471638845822157, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
487	[1.7944499102999583, 0.11225773901445621, 0.0020500000937317964, 3.3415926535897933]	[1.8086723412385166, 0.3354117720458983, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
488	[1.7936531057319143, 0.4181978722145323, 0.0020500000937317964, 3.5415926535897935]	[1.7944499102999583, 0.11225773901445621, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
489	[1.891007691309077, 0.18793262371381106, 0.0020500000937317964, 3.5415926535897935]	[1.7936531057319143, 0.4181978722145323, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
