i	f_sup	f_swg	f_swg_id	traj_params	h_max
122	[-2.82426431364055, 1.5345565301760535, 0.0020500000937317964, 2.9707963267948974]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	Right	[-77.46926841923172, 8.623833120049486]	0.24
123	[-2.7481406155512182, 1.622903474600885, 0.0020500000937317964, 2.770796326794897]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	Right	[-96.35905589130226, 9.617936039278394]	0.24
124	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 3.1707963267948975]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	Right	[-46.24260840018177, 6.662800016822844]	0.24
125	[-2.713922770349139, 1.8259825538525678, 0.0020500000937317964, 3.1707963267948975]	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 3.1707963267948975]	Left	[-271.1631902123587, 16.134331799112857]	0.24
126	[-2.815765956495538, 1.5838290166754765, 0.0020500000937317964, 3.1707963267948975]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	Right	[-213.64942928409573, 14.321433312093168]	0.24
127	[-2.7645513970034346, 1.8854530689260054, 0.0020500000937317964, 2.9707963267948974]	[-2.815765956495538, 1.5838290166754765, 0.0020500000937317964, 3.1707963267948975]	Left	[-306.7157914643413, 17.159462689891186]	0.24
128	[-2.821605860955796, 1.7837437372837774, 0.0020500000937317964, 3.1707963267948975]	[-2.815765956495538, 1.5838290166754765, 0.0020500000937317964, 3.1707963267948975]	Left	[-213.64942928409448, 14.321433312093127]	0.24
129	[-2.866394583149834, 1.6432995317489139, 0.0020500000937317964, 3.1707963267948975]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	Right	[-2250.2997454504975, 46.47889580909251]	0.24
130	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 2.770796326794897]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	Right	[-46.24260840018177, 6.662800016822844]	0.24
131	[-2.730470236380108, 1.779109738362446, 0.0020500000937317964, 2.9707963267948974]	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 2.770796326794897]	Left	[-216.14231995195658, 14.404743217214193]	0.24
132	[-2.824197038972341, 1.869194623198008, 0.0020500000937317964, 2.770796326794897]	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 2.770796326794897]	Left	[-233.32764087024162, 14.966446981011623]	0.24
133	[-2.824197038972341, 1.869194623198008, 0.0020500000937317964, 2.570796326794897]	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 2.770796326794897]	Left	[-233.32764087024162, 14.966446981011623]	0.24
134	[-2.8231512509813195, 1.7614964044222186, 0.0020500000937317964, 2.770796326794897]	[-2.7651373298412425, 1.524358501602039, 0.0020500000937317964, 2.770796326794897]	Left	[-133.2087775091248, 11.308422808188585]	0.24
135	[-2.7328552433587237, 1.4926024826661557, 0.0020500000937317964, 2.570796326794897]	[-2.6800702621737553, 1.793955673724924, 0.0020500000937317964, 2.770796326794897]	Right	[-63.786980200199245, 7.8253115587937625]	0.24
136	[-2.6752830412735698, 1.6933148179798234, 0.0020500000937317964, 2.570796326794897]	[-2.7328552433587237, 1.4926024826661557, 0.0020500000937317964, 2.570796326794897]	Left	[-94.567311574607, 9.5280963005011]	0.24
137	[-2.624794782185096, 1.6608966796277351, 0.0020500000937317964, 2.370796326794897]	[-2.7328552433587237, 1.4926024826661557, 0.0020500000937317964, 2.570796326794897]	Left	[-46.242608400181794, 6.662800016822846]	0.24
138	[-2.5118450649420847, 1.637519742565341, 0.0020500000937317964, 2.370796326794897]	[-2.7638984432002056, 1.464115317856314, 0.0020500000937317964, 2.370796326794897]	Left	[-26725.998417078292, 160.1778963540075]	0.24
139	[-2.619254209635784, 1.4297926475557527, 0.0020500000937317964, 1.9707963267948967]	[-2.352551441442742, 1.3941607315510178, 0.0020500000937317964, 2.1707963267948966]	Right	[-50.49149673554605, 6.962171849798324]	0.24
140	[-2.458407111373726, 1.562939975657656, 0.0020500000937317964, 1.9707963267948967]	[-2.619254209635784, 1.4297926475557527, 0.0020500000937317964, 1.9707963267948967]	Left	[-24.18632168865807, 4.818596146297358]	0.24
141	[-2.7892439774978026, 1.5750630121254647, 0.0020500000937317964, 1.7707963267948967]	[-2.458407111373726, 1.562939975657656, 0.0020500000937317964, 1.9707963267948967]	Right	[-19.2, 4.2932505167995965]	0.24
142	[-2.7580905101131106, 1.501378132605234, 0.0020500000937317964, 1.7707963267948967]	[-2.458407111373726, 1.562939975657656, 0.0020500000937317964, 1.9707963267948967]	Right	[-39.34426229508196, 6.145770236779006]	0.24
143	[-2.407070009365953, 1.5231092707114218, 0.0020500000937317964, 1.7707963267948965]	[-2.582816689943463, 1.2968061459738554, 0.0020500000937317964, 1.9707963267948965]	Left	[-22.588235294117656, 4.656684000697594]	0.24
144	[-2.7368504622614362, 1.639920455484327, 0.0020500000937317964, 1.5707963267948966]	[-2.407070009365953, 1.5231092707114218, 0.0020500000937317964, 1.7707963267948965]	Right	[-6.7866666012201415, 2.5524889690596777]	0.24
145	[-2.4868504622614362, 1.7799204554843269, 0.0020500000937317964, 1.7707963267948965]	[-2.7368504622614362, 1.639920455484327, 0.0020500000937317964, 1.5707963267948966]	Left	[-13.274904341770595, 3.569861085266452]	0.24
146	[-2.751734039801253, 1.8282597805696859, 0.0020500000937317964, 1.7707963267948965]	[-2.4868504622614362, 1.7799204554843269, 0.0020500000937317964, 1.7707963267948965]	Right	[-26.89586255812546, 5.081341167034589]	0.24
147	[-2.5911631650864977, 1.424571409881935, 0.0020500000937317964, 1.5707963267948966]	[-2.407070009365953, 1.5231092707114218, 0.0020500000937317964, 1.7707963267948965]	Right	[-58.55934385205701, 7.497797683185025]	0.24
148	[-2.6401664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	[-2.407070009365953, 1.5231092707114218, 0.0020500000937317964, 1.7707963267948965]	Right	[-55.90062385039069, 7.325612527043391]	0.24
149	[-2.3901664939785596, 1.594637943342182, 0.0020500000937317964, 1.5707963267948966]	[-2.6401664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	Left	[-177.7093320159275, 13.061430194863439]	0.24
150	[-2.3901664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	[-2.6401664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	Left	[-79.65643057212354, 8.744722599902103]	0.24
151	[-2.4401664939785594, 1.5146379433421822, 0.0020500000937317964, 1.5707963267948966]	[-2.6401664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	Left	[-822.5229533491653, 28.10021414892062]	0.24
152	[-2.34016649397856, 1.594637943342182, 0.0020500000937317964, 1.7707963267948965]	[-2.6401664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	Left	[-100.07890200295357, 9.80182360190365]	0.24
153	[-2.34016649397856, 1.594637943342182, 0.0020500000937317964, 1.5707963267948966]	[-2.6401664939785596, 1.414637943342182, 0.0020500000937317964, 1.5707963267948966]	Left	[-100.07890200295357, 9.80182360190365]	0.24
154	[-2.59016649397856, 1.824637943342182, 0.0020500000937317964, 1.5707963267948966]	[-2.34016649397856, 1.594637943342182, 0.0020500000937317964, 1.5707963267948966]	Right	[-5.627198124267294, 2.324244005971964]	0.24
155	[-2.4907105905431743, 1.3357479802047205, 0.0020500000937317964, 1.9707963267948965]	[-2.2831332912040785, 1.3583679890262774, 0.0020500000937317964, 1.9707963267948965]	Right	[0]	0
