i	f_sup	f_swg	f_swg_id	traj_params	h_max
398	[-2.477287081502118, 8.85334631763674, 0.7000000365078449, 1.7707963267948965]	[-2.227287081502118, 8.85334631763674, 0.7000000365078449, 1.5707963267948966]	Right	[-306.7157914643446, 17.159462689891278]	0.24
399	[-2.1192581939395136, 8.387007195068724, 0.7000000365078449, 1.9707963267948965]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-602.0040063581214, 24.040046715923754]	0.24
400	[-2.141946143101139, 8.31227261831312, 0.7000000365078449, 1.7707963267948965]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-74.64191616637541, 8.465000857632583]	0.24
401	[-2.211364293339802, 8.34806536083786, 0.7000000365078449, 1.9707963267948965]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-77.46926841923207, 8.623833120049506]	0.24
402	[-2.0511943464546376, 8.611210925335541, 0.7000000365078449, 2.1707963267948966]	[-2.211364293339802, 8.34806536083786, 0.7000000365078449, 1.9707963267948965]	Left	[-27.507163323782322, 5.138762184693025]	0.24
403	[-2.1369994439072615, 8.2843601928034, 0.7000000365078449, 1.7707963267948965]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-364.29894484607223, 18.700988932466363]	0.24
404	[-2.4498701772048253, 7.373113620327335, 0.600000012665987, 1.3707963267948966]	[-2.249870177204825, 7.313113620327336, 0.600000012665987, 1.5707963267948966]	Right	[-64.34504701959867, 7.8594685023107465]	0.24
405	[-2.1929333728968112, 7.382250282299045, 0.600000012665987, 1.1707963267948966]	[-2.4498701772048253, 7.373113620327335, 0.600000012665987, 1.3707963267948966]	Left	[-119.67571302402455, 10.718613926392887]	0.24
406	[-2.3537804711588692, 7.515397610400948, 0.600000012665987, 0.9707963267948967]	[-2.1929333728968112, 7.382250282299045, 0.600000012665987, 1.1707963267948966]	Right	[-32.56669806394556, 5.591424696925438]	0.24
407	[-2.0271298404106606, 7.461551854469792, 0.600000012665987, 0.7707963267948967]	[-2.3537804711588692, 7.515397610400948, 0.600000012665987, 0.9707963267948967]	Left	[-28.419560922224328, 5.223291920363571]	0.24
408	[-2.1234298168261225, 7.646825475210527, 0.600000012665987, 0.7707963267948967]	[-2.0271298404106606, 7.461551854469792, 0.600000012665987, 0.7707963267948967]	Right	[-13.649022406698137, 3.6198151210290024]	0.24
409	[-1.9922945049433025, 7.425684049924816, 0.600000012665987, 0.9707963267948967]	[-2.1234298168261225, 7.646825475210527, 0.600000012665987, 0.7707963267948967]	Left	[-384.0000000000029, 19.200000000000074]	0.24
410	[-2.0660413295541606, 7.7025620119583, 0.600000012665987, 0.9707963267948967]	[-2.0271298404106606, 7.461551854469792, 0.600000012665987, 0.7707963267948967]	Right	[-8.1477231900713, 2.7967506614763584]	0.24
411	[-2.605810310404901, 7.132316815759292, 0.600000012665987, 1.7707963267948965]	[-2.355810310404901, 7.132316815759292, 0.600000012665987, 1.5707963267948966]	Right	[-9.713868330238915, 3.074593911880391]	0.24
412	[-2.655133008782347, 6.797234170157042, 0.4999999888241291, 1.5707963267948966]	[-2.355133008782347, 6.857234170157041, 0.4999999888241291, 1.5707963267948966]	Right	[-94.56731157460759, 9.528096300501128]	0.24
413	[-2.655133008782347, 6.857234170157041, 0.4999999888241291, 1.3707963267948966]	[-2.355133008782347, 6.857234170157041, 0.4999999888241291, 1.5707963267948966]	Right	[-108.59833234856015, 10.210504348690016]	0.24
414	[-2.2809666706936307, 6.719759247736587, 0.4999999888241291, 1.5707963267948966]	[-2.5630664841982993, 6.838164041645579, 0.4999999888241291, 1.3707963267948966]	Left	[-701.1729117432398, 25.944671808938153]	0.24
415	[-2.613066484198299, 6.67816404164558, 0.4999999888241291, 1.5707963267948966]	[-2.3130664841982993, 6.73816404164558, 0.4999999888241291, 1.5707963267948966]	Right	[-157.37704918032952, 12.291540473558078]	0.24
416	[-2.4220760989859813, 6.8076935347839544, 0.4999999888241291, 2.1707963267948966]	[-2.629653398325077, 6.785073525962398, 0.4999999888241291, 1.9707963267948965]	Left	[-145.17773701389504, 11.805533767404981]	0.24
